Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
darazload,54,3546,3017,5725,6494,7271,1883,7963,0.000%,2.51291,1022.85,0.84
TOTAL,54,3546,3017,5725,6494,7271,1883,7963,0.000%,2.51291,1022.85,0.84
