Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
darazload,100,3118,924,5906,1089.87,0.000%,2.65717,1080.47,0.89,416383.7
TOTAL,100,3118,924,5906,1089.87,0.000%,2.65717,1080.47,0.89,416383.7
